player,total_distance_m,max_velocity_kmh,acc_b1_3_total_efforts,decel_b1_3_total_efforts,efforts_over_19_8_kmh,distance_over_19_8_kmh,efforts_over_25_2_kmh,velocity_b3_plus_total_efforts
CARDOSO,8456.3,29.2,45,42,18,287.4,8,67
JOÃO FERREIRA,8234.7,28.8,48,44,16,265.8,7,64
RICARDO,8567.9,29.5,52,47,19,312.6,9,71
MIGUEL,8123.4,28.4,41,38,15,243.2,6,59
BRUNO,8445.8,29.1,49,45,17,289.7,8,68
DIOGO,8089.2,28.2,39,36,14,228.5,5,57
FRANCISCO,8378.6,28.9,46,43,16,271.3,7,65
TIAGO,8298.1,28.6,44,41,15,256.9,6,62
ANDRÉ,8512.7,29.3,50,46,18,295.8,8,69
JOÃO SILVA,8167.5,28.3,42,39,14,241.7,6,60
PEDRO,8389.4,28.7,47,44,16,278.2,7,66
RAFAEL,8245.8,28.5,43,40,15,249.6,6,61
GONÇALO,8434.2,29.0,48,45,17,284.1,8,67
NUNO,8098.7,28.1,40,37,13,225.8,5,58
LUÍS,8578.3,29.6,53,48,20,318.4,9,72
CARLOS,8076.4,28.0,38,35,12,219.3,4,56
MANUEL,8234.9,28.4,41,38,14,238.7,6,59
JOSÉ,8367.5,28.8,45,42,16,267.9,7,64
PAULO,8045.2,27.8,36,33,11,205.6,4,54
RÚBEN,8489.6,29.2,49,46,18,291.5,8,68
DANIEL,8156.3,28.2,40,37,13,232.4,5,58
MARCO,8401.7,28.9,46,43,16,275.8,7,65
VÍTOR,8067.8,27.9,37,34,12,214.7,4,55
FÁBIO,8445.1,29.1,48,45,17,286.3,8,67
SÉRGIO,8134.6,28.3,41,38,14,235.9,5,59
HUGO,8298.4,28.6,44,41,15,254.2,6,62
ALEX,8223.7,28.4,42,39,14,245.1,6,60
MÁRIO,8089.5,28.1,39,36,13,227.8,5,57
