player,total_distance_m,max_velocity_kmh,acc_b1_3_total_efforts,decel_b1_3_total_efforts,efforts_over_19_8_kmh,distance_over_19_8_kmh,efforts_over_25_2_kmh,velocity_b3_plus_total_efforts
André Lopes,5018.6,24.9,27,28,3,168.5,3,30
Bruno Martins,5348.7,24.6,18,16,10,199.2,1,21
Bruno Ribeiro,4793.2,22.8,20,22,11,146.2,3,26
Carlos Oliveira,4766.2,24.1,30,29,10,121.0,2,27
Diogo Martins,5309.3,24.4,16,15,4,94.6,1,23
Diogo Silva,4743.6,23.5,32,26,10,201.2,2,22
Gonçalo Jesus,5345.5,23.9,15,27,5,155.2,2,28
Gonçalo Pereira,5217.3,24.8,20,20,8,71.5,3,16
João Ferreira,4598.9,22.5,22,27,6,197.2,1,31
João Ribeiro,4902.8,22.1,19,14,10,147.7,1,19
Luís Martins,4719.1,24.0,30,16,9,200.3,0,29
Luís Santos,4835.4,24.6,23,19,11,66.0,2,21
Marco Pinto,4657.3,22.4,23,18,8,207.0,1,28
Miguel Gomes,5392.3,24.9,16,12,10,112.5,3,26
Miguel Pinto,5428.8,23.3,17,17,7,75.4,3,20
Rafael Rodrigues,4735.6,23.7,17,29,3,109.2,4,32
Ricardo Carvalho,3677.7,18.5,18,8,2,182.6,1,11
Tiago Gonçalves,4670.4,24.9,29,19,8,106.5,1,32
Tiago Ribeiro,4756.0,23.8,16,24,11,170.7,4,31
Tiago Silva,4995.4,22.1,16,28,10,110.8,1,23
