player,total_distance_m,max_velocity_kmh,acc_b1_3_total_efforts,decel_b1_3_total_efforts,efforts_over_19_8_kmh,distance_over_19_8_kmh,efforts_over_25_2_kmh,velocity_b3_plus_total_efforts
André Lopes,10823.5,30.6,42,47,17,286.2,5,50
Bruno Martins,9667.4,31.6,53,27,23,341.6,5,43
Bruno Ribeiro,10808.1,32.7,56,56,17,414.6,3,46
Carlos Oliveira,9523.5,32.7,45,36,14,417.4,2,51
Diogo Martins,11179.2,30.6,35,25,15,409.3,8,49
Diogo Silva,10841.7,31.1,57,52,7,188.3,7,41
Gonçalo Jesus,11347.2,32.8,44,31,11,287.5,5,41
Gonçalo Pereira,10358.6,33.0,49,45,16,303.7,1,57
João Ferreira,11379.9,32.6,48,36,17,275.5,8,49
João Ribeiro,10149.6,30.7,40,32,15,140.6,2,51
Luís Martins,10408.7,32.3,63,35,9,320.2,1,32
Luís Santos,11119.8,30.2,35,24,8,218.3,6,58
Marco Pinto,10848.6,30.3,36,53,10,330.9,7,36
Miguel Gomes,10096.7,32.3,45,45,17,208.1,2,54
Miguel Pinto,10048.2,32.1,36,24,10,316.6,5,53
Rafael Rodrigues,10252.9,32.4,63,56,21,365.7,8,52
Ricardo Carvalho,7660.2,25.5,28,18,4,235.3,4,18
Tiago Gonçalves,11458.5,32.3,61,47,22,360.2,7,60
Tiago Ribeiro,11295.0,32.7,39,24,17,411.7,2,50
Tiago Silva,9568.4,31.3,59,25,17,207.7,5,37
