player,total_distance_m,max_velocity_kmh,acc_b1_3_total_efforts,decel_b1_3_total_efforts,efforts_over_19_8_kmh,distance_over_19_8_kmh,efforts_over_25_2_kmh,velocity_b3_plus_total_efforts
André Lopes,5076.2,24.2,17,22,9,159.5,2,17
Bruno Martins,5037.7,23.0,25,13,4,133.4,2,18
Bruno Ribeiro,5224.9,24.3,17,12,3,173.9,3,17
Carlos Oliveira,4669.9,23.1,24,17,7,155.0,3,19
Diogo Martins,5083.4,24.6,20,22,3,62.8,3,15
Diogo Silva,5162.3,23.3,25,24,2,98.6,3,24
Gonçalo Jesus,4965.9,23.1,22,15,8,155.9,0,15
Gonçalo Pereira,5093.9,22.2,26,18,4,74.5,3,26
João Ferreira,5438.2,22.2,15,13,8,53.5,1,21
João Ribeiro,4660.0,23.5,27,10,3,119.9,0,23
Luís Martins,4661.6,22.3,16,22,7,115.3,0,22
Luís Santos,4529.6,23.4,26,12,9,69.8,2,14
Marco Pinto,4577.9,23.8,27,22,5,159.9,1,23
Miguel Gomes,5111.2,23.5,12,22,5,55.2,1,13
Miguel Pinto,5391.6,22.0,14,21,7,111.3,3,23
Rafael Rodrigues,5010.8,23.2,13,15,2,161.9,2,21
Ricardo Carvalho,3454.5,18.3,12,11,2,67.4,1,9
Tiago Gonçalves,4651.6,22.6,16,19,6,67.3,0,26
Tiago Ribeiro,5094.6,24.4,21,11,5,146.1,3,14
Tiago Silva,5425.5,23.8,22,11,5,149.5,2,16
