player,total_distance_m,max_velocity_kmh,acc_b1_3_total_efforts,decel_b1_3_total_efforts,efforts_over_19_8_kmh,distance_over_19_8_kmh,efforts_over_25_2_kmh,velocity_b3_plus_total_efforts
André Lopes,8156.4,29.5,47,26,16,157.9,3,51
Bruno Martins,7727.2,29.2,34,44,17,250.0,3,28
Bruno Ribeiro,7980.2,28.9,23,21,14,131.7,2,42
Carlos Oliveira,8470.8,29.2,49,27,11,228.4,1,37
Diogo Martins,8071.8,28.7,27,26,5,163.0,6,44
Diogo Silva,7531.1,29.2,32,25,6,304.2,2,43
Gonçalo Jesus,8321.5,28.9,35,35,6,207.9,1,31
Gonçalo Pereira,7834.2,29.1,26,25,15,112.3,3,30
João Ferreira,8094.5,29.7,35,28,11,313.2,5,37
João Ribeiro,7729.1,29.6,46,18,5,127.4,3,47
Luís Martins,7915.8,29.3,35,26,14,136.2,3,31
Luís Santos,7606.0,28.0,37,31,10,176.4,7,24
Marco Pinto,8303.4,29.1,39,44,10,96.6,5,35
Miguel Gomes,8261.9,28.2,34,41,11,198.4,5,46
Miguel Pinto,7551.7,29.8,47,33,6,125.8,3,38
Rafael Rodrigues,8161.5,29.6,26,37,6,156.8,3,44
Ricardo Carvalho,5580.6,23.0,17,10,6,109.3,1,31
Tiago Gonçalves,7946.1,29.3,40,33,8,249.6,1,30
Tiago Ribeiro,8149.8,29.1,45,39,7,220.4,4,52
Tiago Silva,7530.2,28.4,28,20,16,237.3,2,26
