player,total_distance_m,max_velocity_kmh,acc_b1_3_total_efforts,decel_b1_3_total_efforts,efforts_over_19_8_kmh,distance_over_19_8_kmh,efforts_over_25_2_kmh,velocity_b3_plus_total_efforts
André Lopes,5688.6,26.1,29,23,8,158.3,4,36
Bruno Martins,6012.5,25.1,17,14,4,178.5,3,32
Bruno Ribeiro,6118.3,25.8,25,16,10,216.7,1,34
Carlos Oliveira,5685.5,26.5,23,29,4,168.3,3,29
Diogo Martins,5961.6,26.4,22,26,13,188.1,3,22
Diogo Silva,5589.9,26.1,35,29,3,172.8,0,31
Gonçalo Jesus,5647.5,27.0,22,27,5,174.4,1,28
Gonçalo Pereira,6198.3,26.5,36,19,10,99.5,2,21
João Ferreira,6353.2,25.6,28,17,6,109.8,3,38
João Ribeiro,6015.1,26.9,26,22,10,76.5,4,21
Luís Martins,6242.4,25.8,26,29,11,90.2,3,32
Luís Santos,6445.6,26.1,18,31,8,167.5,2,35
Marco Pinto,6203.8,26.9,30,16,13,240.3,3,33
Miguel Gomes,6360.8,25.1,29,29,6,183.2,4,17
Miguel Pinto,6409.8,26.2,29,19,4,128.9,3,39
Rafael Rodrigues,6241.3,26.5,21,34,5,162.7,4,36
Ricardo Carvalho,4140.7,20.6,15,12,7,150.0,1,10
Tiago Gonçalves,5777.4,26.1,31,31,4,92.0,2,17
Tiago Ribeiro,5615.0,25.5,36,32,4,96.9,1,18
Tiago Silva,5914.2,26.0,20,15,4,133.5,1,38
