player,total_distance_m,max_velocity_kmh,acc_b1_3_total_efforts,decel_b1_3_total_efforts,efforts_over_19_8_kmh,distance_over_19_8_kmh,efforts_over_25_2_kmh,velocity_b3_plus_total_efforts
André Lopes,6690.4,27.5,38,36,13,235.7,3,42
Bruno Martins,7142.2,26.6,34,20,14,196.3,1,43
Bruno Ribeiro,6654.0,26.8,26,18,12,137.9,2,20
Carlos Oliveira,7130.4,27.6,36,18,13,185.7,1,24
Diogo Martins,6888.8,27.0,31,24,8,266.5,1,38
Diogo Silva,7431.5,27.5,22,18,5,269.9,4,36
Gonçalo Jesus,7272.8,26.1,36,33,13,264.0,4,36
Gonçalo Pereira,6755.9,26.6,24,36,9,183.7,2,20
João Ferreira,7235.6,27.7,43,36,11,220.9,1,40
João Ribeiro,7462.3,27.1,42,19,8,238.3,1,41
Luís Martins,6596.7,27.0,29,31,15,239.9,5,38
Luís Santos,6947.4,27.7,26,23,15,82.9,3,20
Marco Pinto,7451.9,26.7,37,36,9,198.1,5,25
Miguel Gomes,7246.8,27.0,29,38,6,139.8,3,45
Miguel Pinto,6934.9,26.1,36,28,9,275.2,5,32
Rafael Rodrigues,6932.6,26.3,33,26,10,144.0,1,42
Ricardo Carvalho,5248.3,22.4,15,18,6,101.7,3,23
Tiago Gonçalves,7096.0,26.1,39,36,14,263.4,1,25
Tiago Ribeiro,6868.7,27.2,40,32,7,248.6,4,46
Tiago Silva,6811.0,27.7,27,36,15,127.2,1,25
