player,total_distance_m,max_velocity_kmh,acc_b1_3_total_efforts,decel_b1_3_total_efforts,efforts_over_19_8_kmh,distance_over_19_8_kmh,efforts_over_25_2_kmh,velocity_b3_plus_total_efforts
André Lopes,9038.3,31.9,53,38,13,248.5,2,46
Bruno Martins,8502.1,31.6,46,21,9,171.0,7,31
Bruno Ribeiro,9137.9,30.2,34,39,7,321.6,6,32
Carlos Oliveira,9226.2,30.8,44,46,6,319.0,3,59
Diogo Martins,8602.2,31.0,41,23,10,334.6,2,27
Diogo Silva,9117.5,31.6,33,47,7,233.4,7,43
Gonçalo Jesus,9129.9,31.0,42,21,15,304.7,4,33
Gonçalo Pereira,9148.7,29.1,41,26,6,340.2,2,40
João Ferreira,9247.7,29.6,26,22,14,240.0,1,36
João Ribeiro,9053.9,30.9,43,20,14,180.1,7,34
Luís Martins,8735.2,31.6,38,34,10,329.8,4,58
Luís Santos,9105.6,31.8,44,20,19,178.6,7,39
Marco Pinto,8549.4,29.1,41,45,7,174.0,7,42
Miguel Gomes,9150.1,29.3,32,28,13,341.4,6,36
Miguel Pinto,9105.2,29.1,51,36,7,188.2,2,43
Rafael Rodrigues,9011.4,30.0,38,33,9,179.6,1,56
Ricardo Carvalho,6533.1,25.0,29,15,11,187.5,3,25
Tiago Gonçalves,8652.6,29.8,48,33,10,274.5,7,37
Tiago Ribeiro,9368.9,29.3,43,38,12,290.2,6,33
Tiago Silva,8757.1,29.8,41,29,6,247.6,3,45
