player,total_distance_m,max_velocity_kmh,acc_b1_3_total_efforts,decel_b1_3_total_efforts,efforts_over_19_8_kmh,distance_over_19_8_kmh,efforts_over_25_2_kmh,velocity_b3_plus_total_efforts
André Lopes,4884.2,22.0,17,15,6,84.2,1,14
Bruno Martins,5110.1,22.7,14,10,4,66.4,1,25
Bruno Ribeiro,5011.6,23.9,16,14,6,150.0,1,18
Carlos Oliveira,5407.1,24.5,26,19,5,138.7,2,21
Diogo Martins,4825.4,22.5,26,23,6,158.1,1,12
Diogo Silva,5380.7,22.1,18,19,8,157.4,1,12
Gonçalo Jesus,4666.7,24.9,24,24,6,98.0,1,22
Gonçalo Pereira,4501.2,22.4,22,21,6,63.0,2,27
João Ferreira,5434.3,24.5,22,18,3,151.6,2,23
João Ribeiro,5030.4,23.4,18,24,9,53.3,2,25
Luís Martins,5408.4,24.9,25,19,9,162.8,1,28
Luís Santos,5402.0,24.5,23,21,5,58.7,0,20
Marco Pinto,5477.3,23.4,22,12,7,116.9,3,14
Miguel Gomes,4644.5,24.8,21,24,3,116.0,3,21
Miguel Pinto,5066.5,23.4,24,18,6,89.1,2,13
Rafael Rodrigues,5411.7,24.6,12,21,6,133.5,3,21
Ricardo Carvalho,3592.8,18.5,12,11,4,69.9,2,17
Tiago Gonçalves,4526.5,23.0,20,15,3,157.0,1,14
Tiago Ribeiro,4671.4,24.8,15,17,6,105.1,3,23
Tiago Silva,4643.2,24.6,17,23,2,109.1,3,16
